sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_risk_difference,0.21343685483816843,0.08281822760107091,0.0033609769387254987,0.08804121725425944,0.0034098332100811588,0.03006149162319744,0.03067037922342351,0.175,0.04248161366991607,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,logistic_gcomp_risk_difference,0.12517604671353696,-0.005442580523560584,0.0033653787818271204,0.030403254036764617,0.0021738768365187427,0.030100862904803495,0.00044129873654267084,0.025,0.017455300054711177,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw_risk_difference,0.12631352789794495,-0.004305099339152607,0.0037112793591968832,0.033266316964732326,0.002414718625903711,0.03319469172262436,0.04628660072994262,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw_risk_difference,0.12498027218808674,-0.005638355049010809,0.0034622678645200083,0.03128558214494423,0.0023376045535601327,0.030967465205519087,0.03330405731238015,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_oracle_includes_U,0.12934563761417883,-0.001272989622918708,0.0026911100545141094,0.02395296005288505,0.002039036526147837,0.02407002006730687,0.0018357869986002332,0.1,0.03354101966249685,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
