sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,2.0111072931950957,0.011107293195096077,0.015152608993522807,0.13513657960618325,0.009830374568998051,0.13552905498396664,0.13520656643351922,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,adjusted_ols,1.9964649577453053,-0.0035350422546945757,0.010503802620625054,0.0934267424974959,0.005850948204124915,0.09394886672783223,0.08951274668044792,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,ipw,1.996217090868645,-0.00378290913135487,0.0105345442726863,0.09370946388235246,0.005910614099116303,0.0942238284228306,0.1733912591764947,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,aipw,1.9964683748092298,-0.0035316251907703184,0.010508851926139366,0.09347146041506148,0.005840664881167421,0.09399402908930889,0.0891617132824453,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
