sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_risk_difference,0.41746745108948813,0.28689853148396843,0.0029804605584095,0.2881189612533964,0.0029269587162428683,0.026658049651442497,0.028469100598460206,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,logistic_gcomp_risk_difference,0.36942625195243795,0.23885733234691817,0.0033779796455184782,0.2407369398082554,0.003324535924693105,0.030213568455959846,0.000921670503086614,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw_risk_difference,0.3704725593852486,0.2399036397797289,0.0033519227561906472,0.2417464619937093,0.003282208809928114,0.029980508552682965,0.04269531862453736,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw_risk_difference,0.3703091614474413,0.23974024184192166,0.003376773772182621,0.24161164923487158,0.0033035939313840594,0.030202782796954923,0.03091832553861914,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_oracle_includes_U,0.12710497941874627,-0.003463940186773431,0.0033110432977065973,0.029632355482500525,0.00242962556945562,0.029614871560468103,0.0017659896721062295,0.125,0.0369754986443726,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
