sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
500,naive_difference,3.489724215864751,1.1897242158647507,0.014609973937785422,1.1967900256743265,0.014692244379248447,0.13067557949755396,0.13020745920910348,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,adjusted_ols,2.2882448004616465,-0.01175519953835361,0.011425749489652196,0.10223236804852567,0.0094361277839187,0.10219501021098334,0.10952473694227813,0.9375,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,ipw,2.2866668906808014,-0.013333109319198278,0.02425567172456023,0.21600102559496911,0.021771895473115508,0.21694932326414493,0.254027093137082,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
500,aipw,2.3009446814696224,0.0009446814696224687,0.014756171869119277,0.1311591265346298,0.011099622780885051,0.13198321354808334,0.1331770991543131,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
