estimator,estimate,se,ci_lower,ci_upper,status,error_type,error_message,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
adjusted_ols_naive_se,1.4921234042686637,0.04741567699054242,1.3991903850646161,1.5850564234727114,ok,,,2000,0,20360615,1.5,-0.007876595731336256,True,0.4625,0.11082265002588851,0.8847815953276778,False
adjusted_ols_cluster_robust,1.4921234042686637,0.043319783276198565,1.407218189229234,1.5770286193080936,ok,,,2000,0,20360615,1.5,-0.007876595731336256,True,0.4625,0.11082265002588851,0.8847815953276778,False
adjusted_ols_naive_se,1.47691522247413,0.04784370764438638,1.383143278604269,1.570687166343991,ok,,,2000,1,20360616,1.5,-0.023084777525870015,True,0.466,0.11043027056158042,0.8296982105182701,False
adjusted_ols_cluster_robust,1.47691522247413,0.049596967756647334,1.3797069519287068,1.5741234930195531,ok,,,2000,1,20360616,1.5,-0.023084777525870015,True,0.466,0.11043027056158042,0.8296982105182701,False
adjusted_ols_naive_se,1.4766119008627085,0.04906831836453107,1.3804397640862822,1.5727840376391349,ok,,,2000,2,20360617,1.5,-0.02338809913729145,True,0.491,0.1424352627979976,0.8954397360319305,False
adjusted_ols_cluster_robust,1.4766119008627085,0.06597419511449881,1.3473048545292725,1.6059189471961446,ok,,,2000,2,20360617,1.5,-0.02338809913729145,True,0.491,0.1424352627979976,0.8954397360319305,False
adjusted_ols_naive_se,1.4956413229918084,0.05074021754059941,1.396192324044506,1.5950903219391108,ok,,,2000,3,20360618,1.5,-0.0043586770081915915,True,0.48,0.11404476858612603,0.8839168512835552,False
adjusted_ols_cluster_robust,1.4956413229918084,0.06154641732280131,1.3750125616616458,1.616270084321971,ok,,,2000,3,20360618,1.5,-0.0043586770081915915,True,0.48,0.11404476858612603,0.8839168512835552,False
adjusted_ols_naive_se,1.4886556518770782,0.0503444748392994,1.3899822943714684,1.587329009382688,ok,,,2000,4,20360619,1.5,-0.011344348122921843,True,0.467,0.051385756615187114,0.8530572184584678,False
adjusted_ols_cluster_robust,1.4886556518770782,0.053692061275643875,1.3834211455210985,1.5938901582330578,ok,,,2000,4,20360619,1.5,-0.011344348122921843,True,0.467,0.051385756615187114,0.8530572184584678,False
adjusted_ols_naive_se,1.5363424368890795,0.048362554048875975,1.4415535727529107,1.6311313010252482,ok,,,2000,5,20360620,1.5,0.036342436889079455,True,0.4715,0.11919511684982441,0.8512627892311755,False
adjusted_ols_cluster_robust,1.5363424368890795,0.04532652906084272,1.4475040723856196,1.6251808013925393,ok,,,2000,5,20360620,1.5,0.036342436889079455,True,0.4715,0.11919511684982441,0.8512627892311755,False
adjusted_ols_naive_se,1.5246594467679038,0.04871778509288821,1.4291743425792804,1.620144550956527,ok,,,2000,6,20360621,1.5,0.02465944676790377,True,0.49,0.12280520615439844,0.898480011084723,False
adjusted_ols_cluster_robust,1.5246594467679038,0.06419558122855726,1.398838419593316,1.6504804739424916,ok,,,2000,6,20360621,1.5,0.02465944676790377,True,0.49,0.12280520615439844,0.898480011084723,False
adjusted_ols_naive_se,1.5714681589305752,0.048645023383385715,1.4761256650720305,1.66681065278912,ok,,,2000,7,20360622,1.5,0.07146815893057523,True,0.469,0.11201404511213121,0.8630998262843583,False
adjusted_ols_cluster_robust,1.5714681589305752,0.05115319094248652,1.471209746989001,1.6717265708721494,ok,,,2000,7,20360622,1.5,0.07146815893057523,True,0.469,0.11201404511213121,0.8630998262843583,False
adjusted_ols_naive_se,1.5664537191866528,0.04983621878225416,1.468776525247776,1.6641309131255295,ok,,,2000,8,20360623,1.5,0.06645371918665277,True,0.469,0.12225985861142194,0.8675965053263149,False
adjusted_ols_cluster_robust,1.5664537191866528,0.06478932721639427,1.4394689712599393,1.6934384671133662,ok,,,2000,8,20360623,1.5,0.06645371918665277,True,0.469,0.12225985861142194,0.8675965053263149,False
