sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_risk_difference,0.3856753769336475,0.23789024968005065,0.003072132227312362,0.2394522345065547,0.0031211895069735334,0.027477985984553113,0.02884461438929169,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,logistic_gcomp_risk_difference,0.32242753092536863,0.17464240367177178,0.00328347205618041,0.17706406487768142,0.003362673753714861,0.029368266879361622,0.0011714552008125721,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw_risk_difference,0.3232834111705214,0.1754982839169246,0.0034627762433165543,0.17817666060226967,0.00352897137644863,0.030972012283708668,0.042710412861679765,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw_risk_difference,0.32262795910321546,0.17484283184961866,0.003288822457422927,0.17726959059171296,0.0033802968844182835,0.02941612232290229,0.031012862285997967,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_oracle_includes_U,0.14430221784873173,-0.003482909404865075,0.003457362016860005,0.030926452674967006,0.002487065836434012,0.03092358597009899,0.0014640140582931186,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
