sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_difference,2.002717397815903,0.0027173978159032524,0.009943860846575864,0.08842473276882981,0.007479222766786821,0.08894059524696894,0.09651020159023682,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_ols,2.0010095410830315,0.0010095410830315676,0.007021829350521297,0.06241954886089672,0.004266975512910376,0.06280515101667529,0.06356014173096255,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw,2.0010325041156127,0.001032504115613128,0.007017972205212598,0.06238564611131753,0.004269212597153246,0.0627706516602379,0.12320154160677652,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw,2.0009442583750614,0.0009442583750614242,0.007013498590028741,0.062344490207181504,0.00426612803341979,0.0627306384296128,0.06342283289876746,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
