sample_size,treatment_prevalence,propensity_min,propensity_p01,propensity_p05,propensity_median,propensity_p95,propensity_p99,propensity_max,treated_propensity_p05,treated_propensity_p95,control_propensity_p05,control_propensity_p95,propensity_overlap_width,exposure_min,exposure_median,exposure_max,exposure_scale,observed_rate,observed_rate_scaled,count_mean,count_variance,overdispersion_ratio,count_zero_fraction,positivity_warning,overdispersion_warning,exposure_imbalance_warning,unobserved_confounder_enabled,unobserved_confounder_observed,positivity_message,count_outcome_message
700,0.4241428571428571,0.06688693235514462,0.12126224692213876,0.17890744793483496,0.41403744233676276,0.6930394582381542,0.7826696001875733,0.8693666149197063,0.2367342855349221,0.7319332261081286,0.15928417020983787,0.6368611657112002,0.4001268801762782,16534.01120836916,49010.260762272446,150958.73122754233,100000.0,0.004869812442416274,486.98124424162745,253.72433928571428,30564.695650240137,120.26486249666016,0.0,False,True,False,False,False,No major positivity warning triggered.,outcome variance is much larger than the mean.
1400,0.4218571428571429,0.06233212165438534,0.1171016013838587,0.1774950585796705,0.41196424404009174,0.6968762132154043,0.7861282038769598,0.8834735963751305,0.22957501632169416,0.7352414549885549,0.15826150567980551,0.6380704731539002,0.4084954568322061,15498.09250111508,49122.92615249542,157258.03178342286,100000.0,0.004847421030202823,484.74210302028234,253.0037232142857,31111.139468657457,122.86918954602257,0.0,False,True,False,False,False,No major positivity warning triggered.,outcome variance is much larger than the mean.
