sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
800,naive_difference,3.2705956752572996,1.2705956752572996,0.009979784845708644,1.2768121047231844,0.009985310216157227,0.12623540268348551,0.13205861904563995,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,adjusted_ols,1.9684447495104294,-0.03155525048957088,0.006435635698825542,0.08706952120168805,0.004374701864216678,0.08140506799751257,0.08183689576599049,0.94375,0.01821502427599261,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,adjusted_ols_omit_confounder,3.2734597901130833,1.2734597901130833,0.00995773358650422,1.2796349924433315,0.009942965404016228,0.12595647386604267,0.1276877547938548,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,aipw,2.0089391294920973,0.00893912949209725,0.0069011182314188116,0.08747772206839771,0.004639011354300651,0.0872930080535857,0.08531757823864342,0.94375,0.01821502427599261,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,aipw_ps_misspecified,2.0088343676095355,0.008834367609535376,0.00633850369683708,0.08041225080991307,0.004102043123733764,0.08017643455761037,0.07510168864154548,0.94375,0.01821502427599261,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,aipw_outcome_misspecified,2.0129043197196053,0.012904319719605442,0.008257536141091688,0.10492015566007339,0.005756933599377389,0.10445048826802905,0.2055249799531616,1.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
800,aipw_double_misspecified,3.27335510804512,1.27335510804512,0.009954021183400483,1.2795262227410633,0.009939431253695105,0.12590951526844066,0.13213302136839272,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,naive_difference,3.2385116717712124,1.238511671771212,0.006923204693786285,1.2415845329527189,0.006944402283164414,0.08757238215973298,0.09323364792582281,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,adjusted_ols,1.957515120973659,-0.042484879026341446,0.004578325016058476,0.07167826363938301,0.0042346147829930535,0.05791173967708703,0.05767946279008973,0.90625,0.023043564380863475,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,adjusted_ols_omit_confounder,3.2410383692022635,1.2410383692022637,0.006495487009825515,1.2437381793287081,0.00650204973239144,0.08216213385234054,0.09012725381107432,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,aipw,1.9987877023781877,-0.001212297621812164,0.004819460246839421,0.060783172011597636,0.003330165019510703,0.060961885890599546,0.05978459951302748,0.94375,0.01821502427599261,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,aipw_ps_misspecified,1.9986086525199824,-0.0013913474800178072,0.004574491479212404,0.05769892063512686,0.003319939347236272,0.05786324884537597,0.05311517947343837,0.93125,0.020003661774160245,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,aipw_outcome_misspecified,2.0022364987798182,0.002236498779818226,0.006467256256558366,0.08157966095408259,0.004554253245739723,0.08180503993079481,0.14291129259964924,1.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
1600,aipw_double_misspecified,3.241016035831335,1.2410160358313351,0.006496372667697935,1.243716629938951,0.006502961749742596,0.08217333663675856,0.09324273536645426,0.0,0.0,160,160,160,160,0,0,0,0.0,0.0,160,,,ok
