estimator,estimate,se,ci_lower,ci_upper,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.2787868100864045,0.03419220721395316,0.21177131539512567,0.3458023047776833,800,0,20360605,0.1389913907227091,0.13979541936369538,False,0.33125,0.05133921630915032,0.7732263010217758,False
logistic_gcomp_risk_difference,0.19401768574512177,0.0017831985788091776,0.19052268075337278,0.19751269073687075,800,0,20360605,0.1389913907227091,0.05502629502241266,False,0.33125,0.05133921630915032,0.7732263010217758,False
ipw_risk_difference,0.18694950879106526,0.041781696483621955,0.10505888847018241,0.2688401291119481,800,0,20360605,0.1389913907227091,0.04795811806835615,True,0.33125,0.05133921630915032,0.7732263010217758,False
aipw_risk_difference,0.1892467878889191,0.035045895254015975,0.12055809538508458,0.2579354803927536,800,0,20360605,0.1389913907227091,0.05025539716621,True,0.33125,0.05133921630915032,0.7732263010217758,False
naive_risk_difference,0.20376559714795012,0.03444252229000623,0.13625949392281989,0.27127170037308035,800,1,20360606,0.1389913907227091,0.06477420642524101,True,0.34,0.06818334380556648,0.7731384880407531,False
logistic_gcomp_risk_difference,0.11182034234066265,0.0012555902899502643,0.10935943059302193,0.11428125408830338,800,1,20360606,0.1389913907227091,-0.027171048382046453,False,0.34,0.06818334380556648,0.7731384880407531,False
ipw_risk_difference,0.11366236860626572,0.040911147660851375,0.03347799262479695,0.1938467445877345,800,1,20360606,0.1389913907227091,-0.02532902211644339,True,0.34,0.06818334380556648,0.7731384880407531,False
aipw_risk_difference,0.1153720453588786,0.03365779486561169,0.04940397962324254,0.18134011109451464,800,1,20360606,0.1389913907227091,-0.023619345363830507,True,0.34,0.06818334380556648,0.7731384880407531,False
naive_risk_difference,0.29641649763353617,0.033796773584860974,0.230176038613554,0.3626569566535183,800,2,20360607,0.1389913907227091,0.15742510691082706,False,0.3625,0.06274903731606674,0.7733988155714402,False
logistic_gcomp_risk_difference,0.19136799108564734,0.0021313691469955634,0.18719058431977617,0.1955453978515185,800,2,20360607,0.1389913907227091,0.05237660036293823,False,0.3625,0.06274903731606674,0.7733988155714402,False
ipw_risk_difference,0.1997275928135496,0.04144179957639965,0.118503158189279,0.2809520274378202,800,2,20360607,0.1389913907227091,0.06073620209084049,True,0.3625,0.06274903731606674,0.7733988155714402,False
aipw_risk_difference,0.19723468071215272,0.033384297470631395,0.13180266002054358,0.26266670140376186,800,2,20360607,0.1389913907227091,0.058243289989443614,True,0.3625,0.06274903731606674,0.7733988155714402,False
naive_risk_difference,0.2547645836640874,0.03362617905717716,0.18885848377432513,0.32067068355384964,800,3,20360608,0.1389913907227091,0.11577319294137828,False,0.34625,0.06336159947371772,0.7817466246055086,False
logistic_gcomp_risk_difference,0.16049554772405117,0.0018714565718063584,0.15682756024467992,0.16416353520342242,800,3,20360608,0.1389913907227091,0.02150415700134206,False,0.34625,0.06336159947371772,0.7817466246055086,False
ipw_risk_difference,0.14906080870706162,0.0395361767790706,0.07157132613367445,0.2265502912804488,800,3,20360608,0.1389913907227091,0.010069417984352513,True,0.34625,0.06336159947371772,0.7817466246055086,False
aipw_risk_difference,0.14936826380839593,0.032862232584191416,0.08495947149180214,0.21377705612498973,800,3,20360608,0.1389913907227091,0.010376873085686827,True,0.34625,0.06336159947371772,0.7817466246055086,False
naive_risk_difference,0.21923455411048168,0.033210979018280025,0.15414223134333743,0.2843268768776259,800,4,20360609,0.1389913907227091,0.08024316338777257,False,0.3775,0.060528432839408904,0.748407653914955,False
logistic_gcomp_risk_difference,0.1096702545329578,0.0012170418742101325,0.10728489629182882,0.11205561277408678,800,4,20360609,0.1389913907227091,-0.02932113618975131,False,0.3775,0.060528432839408904,0.748407653914955,False
ipw_risk_difference,0.10523484082246476,0.04001140739347381,0.026813923360496456,0.18365575828443306,800,4,20360609,0.1389913907227091,-0.03375654990024435,True,0.3775,0.060528432839408904,0.748407653914955,False
aipw_risk_difference,0.10027578567795309,0.03249386191769775,0.03658898660064788,0.1639625847552583,800,4,20360609,0.1389913907227091,-0.03871560504475602,True,0.3775,0.060528432839408904,0.748407653914955,False
naive_risk_difference,0.23204466389855236,0.033724956241253615,0.16594496428550595,0.2981443635115988,800,5,20360610,0.1389913907227091,0.09305327317584325,False,0.335,0.06813811680239783,0.7788247813246314,False
logistic_gcomp_risk_difference,0.13842863024199084,0.0015368470985058441,0.1354164652791745,0.14144079520480718,800,5,20360610,0.1389913907227091,-0.0005627604807182662,True,0.335,0.06813811680239783,0.7788247813246314,False
ipw_risk_difference,0.12549394717818319,0.041634493822804555,0.043891838770930905,0.20709605558543548,800,5,20360610,0.1389913907227091,-0.013497443544525922,True,0.335,0.06813811680239783,0.7788247813246314,False
aipw_risk_difference,0.13301536678560522,0.034883266322150344,0.06464542113107155,0.20138531244013888,800,5,20360610,0.1389913907227091,-0.0059760239371038915,True,0.335,0.06813811680239783,0.7788247813246314,False
naive_risk_difference,0.29696650106852435,0.03384291988957728,0.23063559695327862,0.3632974051837701,800,6,20360611,0.1389913907227091,0.15797511034581524,False,0.3425,0.06607671154756867,0.7579892518107814,False
logistic_gcomp_risk_difference,0.21697858338895798,0.0021967620599515035,0.21267300886884902,0.22128415790906694,800,6,20360611,0.1389913907227091,0.07798719266624887,False,0.3425,0.06607671154756867,0.7579892518107814,False
ipw_risk_difference,0.2073986410385335,0.04162320680076262,0.12581865478797613,0.28897862728909085,800,6,20360611,0.1389913907227091,0.0684072503158244,True,0.3425,0.06607671154756867,0.7579892518107814,False
aipw_risk_difference,0.21138832387144454,0.033912021890312005,0.1449219823234991,0.27785466541938997,800,6,20360611,0.1389913907227091,0.07239693314873544,False,0.3425,0.06607671154756867,0.7579892518107814,False
naive_risk_difference,0.2502326276395596,0.034381289224821907,0.18284653901685366,0.31761871626226557,800,7,20360612,0.1389913907227091,0.1112412369168505,False,0.35875,0.06490036924319595,0.8247548886878315,False
logistic_gcomp_risk_difference,0.15249639879147106,0.0013942040386838354,0.14976380908855044,0.15522898849439168,800,7,20360612,0.1389913907227091,0.013505008068761953,False,0.35875,0.06490036924319595,0.8247548886878315,False
ipw_risk_difference,0.14246533984785278,0.04114458622711725,0.061823432683900226,0.22310724701180534,800,7,20360612,0.1389913907227091,0.003473949125143677,True,0.35875,0.06490036924319595,0.8247548886878315,False
aipw_risk_difference,0.13818469012631662,0.03283074584696198,0.07383761068068319,0.20253176957195007,800,7,20360612,0.1389913907227091,-0.0008067005963924845,True,0.35875,0.06490036924319595,0.8247548886878315,False
naive_risk_difference,0.23546529626648505,0.03317847146881859,0.17043668712551086,0.30049390540745924,800,8,20360613,0.1389913907227091,0.09647390554377594,False,0.34875,0.05545506496798856,0.7404086673326556,False
logistic_gcomp_risk_difference,0.14294413648182488,0.0016121801583309943,0.13978432143490604,0.14610395152874373,800,8,20360613,0.1389913907227091,0.003952745759115778,False,0.34875,0.05545506496798856,0.7404086673326556,False
ipw_risk_difference,0.13570771636106152,0.03729064082752763,0.06261940337868845,0.2087960293434346,800,8,20360613,0.1389913907227091,-0.003283674361647587,True,0.34875,0.05545506496798856,0.7404086673326556,False
aipw_risk_difference,0.134614544348019,0.03200427347087808,0.07188732099372726,0.19734176770231077,800,8,20360613,0.1389913907227091,-0.004376846374690102,True,0.34875,0.05545506496798856,0.7404086673326556,False
naive_risk_difference,0.275390625,0.03351539197962015,0.20970166379220193,0.3410795862077981,800,9,20360614,0.1389913907227091,0.1363992342772909,False,0.36,0.0725142942954105,0.7521388748371026,False
logistic_gcomp_risk_difference,0.1754919177227007,0.001893911051944804,0.17177992027096653,0.17920391517443487,800,9,20360614,0.1389913907227091,0.036500526999991595,False,0.36,0.0725142942954105,0.7521388748371026,False
ipw_risk_difference,0.17275906266081897,0.04155065577944214,0.09132127379909133,0.2541968515225466,800,9,20360614,0.1389913907227091,0.03376767193810987,True,0.36,0.0725142942954105,0.7521388748371026,False
aipw_risk_difference,0.17533307469833473,0.03356924960190464,0.10953855449056608,0.24112759490610336,800,9,20360614,0.1389913907227091,0.03634168397562562,True,0.36,0.0725142942954105,0.7521388748371026,False
naive_risk_difference,0.31187033387915963,0.033730940758818086,0.245758904827222,0.37798176293109725,800,10,20360615,0.1389913907227091,0.17287894315645053,False,0.3425,0.06440157441408484,0.7724992202945379,False
logistic_gcomp_risk_difference,0.20617143166700896,0.002564932025775879,0.2011442572736949,0.21119860606032304,800,10,20360615,0.1389913907227091,0.06718004094429986,False,0.3425,0.06440157441408484,0.7724992202945379,False
ipw_risk_difference,0.2252759067163617,0.047669236719568665,0.13184591957549285,0.3187058938572305,800,10,20360615,0.1389913907227091,0.08628451599365258,True,0.3425,0.06440157441408484,0.7724992202945379,False
aipw_risk_difference,0.23192579094565288,0.03645317646006847,0.16047887796183538,0.30337270392947036,800,10,20360615,0.1389913907227091,0.09293440022294377,False,0.3425,0.06440157441408484,0.7724992202945379,False
naive_risk_difference,0.270146973681457,0.034979847752456536,0.20158773190194784,0.3387062154609662,800,11,20360616,0.1389913907227091,0.1311555829587479,False,0.33875,0.06579608524079672,0.7782383139486789,False
logistic_gcomp_risk_difference,0.19048804712938833,0.0013230295677430976,0.18789495682613025,0.1930811374326464,800,11,20360616,0.1389913907227091,0.05149665640667922,False,0.33875,0.06579608524079672,0.7782383139486789,False
ipw_risk_difference,0.18678964096360876,0.04582243567905738,0.09697931734875312,0.27659996457846436,800,11,20360616,0.1389913907227091,0.04779825024089965,True,0.33875,0.06579608524079672,0.7782383139486789,False
aipw_risk_difference,0.19203356603122537,0.0366455796349461,0.12020954975413656,0.2638575823083142,800,11,20360616,0.1389913907227091,0.053042175308516265,True,0.33875,0.06579608524079672,0.7782383139486789,False
naive_risk_difference,0.29004381612082175,0.03392075358761623,0.22356036076063612,0.3565272714810074,800,12,20360617,0.1389913907227091,0.15105242539811264,False,0.36375,0.07114478207886929,0.771776966466097,False
logistic_gcomp_risk_difference,0.17155701712468524,0.002009678328598655,0.16761811998012122,0.17549591426924926,800,12,20360617,0.1389913907227091,0.03256562640197613,False,0.36375,0.07114478207886929,0.771776966466097,False
ipw_risk_difference,0.1555625978566529,0.040576426369821075,0.07603426355046228,0.23509093216284355,800,12,20360617,0.1389913907227091,0.016571207133943805,True,0.36375,0.07114478207886929,0.771776966466097,False
aipw_risk_difference,0.15096767044944123,0.03158453930052432,0.08906311095212366,0.2128722299467588,800,12,20360617,0.1389913907227091,0.011976279726732125,True,0.36375,0.07114478207886929,0.771776966466097,False
naive_risk_difference,0.2701482699618506,0.03344790690532655,0.20459157706916198,0.3357049628545392,800,13,20360618,0.1389913907227091,0.1311568792391415,False,0.37625,0.06492933654358783,0.784504752396815,False
logistic_gcomp_risk_difference,0.19044518479486627,0.001728404301559364,0.1870575746130858,0.19383279497664674,800,13,20360618,0.1389913907227091,0.051453794072157166,False,0.37625,0.06492933654358783,0.784504752396815,False
ipw_risk_difference,0.18982697402418963,0.04289331514361576,0.10575762116517624,0.27389632688320303,800,13,20360618,0.1389913907227091,0.050835583301480525,True,0.37625,0.06492933654358783,0.784504752396815,False
aipw_risk_difference,0.1891361220394529,0.034739246692125775,0.12104844967283418,0.2572237944060716,800,13,20360618,0.1389913907227091,0.050144731316743796,True,0.37625,0.06492933654358783,0.784504752396815,False
naive_risk_difference,0.245047817807478,0.033560078666741,0.17927127230233464,0.31082436331262137,800,14,20360619,0.1389913907227091,0.1060564270847689,False,0.33375,0.060528431884031474,0.7580078827623108,False
logistic_gcomp_risk_difference,0.16188766751790645,0.0021424760316315745,0.15768849165816826,0.16608684337764465,800,14,20360619,0.1389913907227091,0.022896276795197346,False,0.33375,0.060528431884031474,0.7580078827623108,False
ipw_risk_difference,0.161695986241566,0.0396576565575004,0.08396840767760652,0.23942356480552549,800,14,20360619,0.1389913907227091,0.022704595518856896,True,0.33375,0.060528431884031474,0.7580078827623108,False
aipw_risk_difference,0.15890133585407867,0.03251394237715707,0.0951751797994402,0.22262749190871717,800,14,20360619,0.1389913907227091,0.019909945131369566,True,0.33375,0.060528431884031474,0.7580078827623108,False
naive_risk_difference,0.2509616769176969,0.033579587704510465,0.18514689440115234,0.31677645943424143,800,15,20360620,0.1389913907227091,0.11197028619498778,False,0.35125,0.059126610545150046,0.759578476729109,False
logistic_gcomp_risk_difference,0.16705487240228678,0.0018712030478969808,0.16338738182064713,0.17072236298392643,800,15,20360620,0.1389913907227091,0.028063481679577673,False,0.35125,0.059126610545150046,0.759578476729109,False
ipw_risk_difference,0.1632339508229751,0.04155601552340244,0.0817856570561189,0.2446822445898313,800,15,20360620,0.1389913907227091,0.024242560100265986,True,0.35125,0.059126610545150046,0.759578476729109,False
aipw_risk_difference,0.16216168031080208,0.03361383632049682,0.09627977174040395,0.22804358888120022,800,15,20360620,0.1389913907227091,0.023170289588092974,True,0.35125,0.059126610545150046,0.759578476729109,False
naive_risk_difference,0.18956565256375504,0.03385145713950775,0.12321801574611858,0.2559132893813915,800,16,20360621,0.1389913907227091,0.05057426184104594,True,0.34125,0.06558029295470873,0.7811753169249024,False
logistic_gcomp_risk_difference,0.11625242309969706,0.00116273857199133,0.11397349737515852,0.1185313488242356,800,16,20360621,0.1389913907227091,-0.022738967623012044,False,0.34125,0.06558029295470873,0.7811753169249024,False
ipw_risk_difference,0.1092565984773485,0.0407858627989538,0.029317776313007055,0.18919542064168995,800,16,20360621,0.1389913907227091,-0.029734792245360603,True,0.34125,0.06558029295470873,0.7811753169249024,False
aipw_risk_difference,0.1101913701725967,0.033683834574156885,0.04417226754604414,0.17621047279914925,800,16,20360621,0.1389913907227091,-0.02880002055011241,True,0.34125,0.06558029295470873,0.7811753169249024,False
naive_risk_difference,0.23022683715209247,0.03496550214860068,0.16169571223947726,0.29875796206470767,800,17,20360622,0.1389913907227091,0.09123544642938336,False,0.3225,0.06271466325158846,0.7945916849673665,False
logistic_gcomp_risk_difference,0.10471976045564552,0.0012532914635737832,0.1022633543249094,0.10717616658638163,800,17,20360622,0.1389913907227091,-0.03427163026706359,False,0.3225,0.06271466325158846,0.7945916849673665,False
ipw_risk_difference,0.09500462487229541,0.042988650551770966,0.010748418046846397,0.17926083169774443,800,17,20360622,0.1389913907227091,-0.043986765850413695,True,0.3225,0.06271466325158846,0.7945916849673665,False
aipw_risk_difference,0.10012144225570982,0.033996826626736705,0.03348888647865354,0.16675399803276608,800,17,20360622,0.1389913907227091,-0.03886994846699929,True,0.3225,0.06271466325158846,0.7945916849673665,False
naive_risk_difference,0.2245011240320835,0.03412700167103807,0.15761342985651064,0.2913888182076564,800,18,20360623,0.1389913907227091,0.08550973330937439,False,0.3425,0.06429066266433489,0.7763877394310075,False
logistic_gcomp_risk_difference,0.11032411558913552,0.0013054906911509835,0.10776540085232729,0.11288283032594375,800,18,20360623,0.1389913907227091,-0.02866727513357359,False,0.3425,0.06429066266433489,0.7763877394310075,False
ipw_risk_difference,0.09518889480931346,0.03759475794083996,0.02150452323776593,0.16887326638086098,800,18,20360623,0.1389913907227091,-0.04380249591339565,True,0.3425,0.06429066266433489,0.7763877394310075,False
aipw_risk_difference,0.09739370150395318,0.03152568949097339,0.03560448551385247,0.1591829174940539,800,18,20360623,0.1389913907227091,-0.04159768921875592,True,0.3425,0.06429066266433489,0.7763877394310075,False
naive_risk_difference,0.2872469145761071,0.0336078284073131,0.22137678129917132,0.35311704785304293,800,19,20360624,0.1389913907227091,0.14825552385339802,False,0.3675,0.05854517096732538,0.7588672442214098,False
logistic_gcomp_risk_difference,0.19546896870390496,0.0018928332297295314,0.19175908374489445,0.19917885366291546,800,19,20360624,0.1389913907227091,0.05647757798119585,False,0.3675,0.05854517096732538,0.7588672442214098,False
ipw_risk_difference,0.20329887434904456,0.043894263811187675,0.11726769815121686,0.2893300505468723,800,19,20360624,0.1389913907227091,0.06430748362633545,True,0.3675,0.05854517096732538,0.7588672442214098,False
aipw_risk_difference,0.20921092907017574,0.036395993421646455,0.13787609278219196,0.28054576535815956,800,19,20360624,0.1389913907227091,0.07021953834746664,True,0.3675,0.05854517096732538,0.7588672442214098,False
naive_risk_difference,0.2222404192597445,0.03336883354316751,0.1568387073090241,0.2876421312104649,800,20,20360625,0.1389913907227091,0.08324902853703539,False,0.355,0.052515996601413664,0.7725814429170608,False
logistic_gcomp_risk_difference,0.11934199988849065,0.0014105249494895046,0.11657742178819604,0.12210657798878526,800,20,20360625,0.1389913907227091,-0.01964939083421846,False,0.355,0.052515996601413664,0.7725814429170608,False
ipw_risk_difference,0.09737831995762533,0.036377609076615934,0.026079516323780735,0.1686771235914699,800,20,20360625,0.1389913907227091,-0.041613070765083776,True,0.355,0.052515996601413664,0.7725814429170608,False
aipw_risk_difference,0.09821037619134321,0.03014812042149049,0.03912114596364533,0.1572996064190411,800,20,20360625,0.1389913907227091,-0.0407810145313659,True,0.355,0.052515996601413664,0.7725814429170608,False
naive_risk_difference,0.26092808970053566,0.03320448703487021,0.19584849098706286,0.32600768841400846,800,21,20360626,0.1389913907227091,0.12193669897782655,False,0.3425,0.06441244818689912,0.7600419433684948,False
