sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,failure_rate
800,naive_risk_difference,0.24341495872840302,0.10442356800569395,0.003182447970583812,0.11004322146416415,0.003160708693908359,0.03486197083150583,0.03380886820615055,0.10833333333333334,0.028372113982779848,120,120,120,120,0.0
800,logistic_gcomp_risk_difference,0.14364659122377257,0.00465520050106347,0.0032112118242741527,0.03533814901728328,0.0019800742095258646,0.03517706306164538,0.0015942157115155062,0.1,0.027386127875258306,120,120,120,120,0.0
800,ipw_risk_difference,0.14259491554749812,0.0036035248247890087,0.0034459106066272497,0.037762773737080646,0.002111841401427209,0.03774805940792113,0.04186127650073478,0.9833333333333333,0.01168649109331259,120,120,120,120,0.0
800,aipw_risk_difference,0.14279580866636887,0.003804417943659769,0.00335417800033333,0.036787012555826434,0.0020803766876345076,0.036743179053402714,0.03424258491421871,0.9416666666666667,0.021395201088786935,120,120,120,120,0.0
1600,naive_risk_difference,0.23830034947501286,0.09930895875230376,0.0022481031221473404,0.10229218659582948,0.0021527988678736523,0.024626735831957815,0.023822890379506276,0.016666666666666666,0.011686491093312571,120,120,120,120,0.0
1600,logistic_gcomp_risk_difference,0.1367555367526608,-0.002235853970048308,0.002125889621607187,0.023298249682819128,0.0014464509525893609,0.023287954010407567,0.001106670485105022,0.08333333333333333,0.025230419617479096,120,120,120,120,0.0
1600,ipw_risk_difference,0.13653732971321297,-0.002454061009496125,0.0022462427861728185,0.02462619758135443,0.0013888102723243253,0.024606356872402126,0.029535687153189712,0.9833333333333333,0.01168649109331259,120,120,120,120,0.0
1600,aipw_risk_difference,0.13687619731485892,-0.002115193407850188,0.002236960507525201,0.02449385899174881,0.0014473959435288945,0.02450467460439515,0.024184485783454265,0.95,0.019895560643855545,120,120,120,120,0.0
