scenario,scenario_title,confounding_strength,heterogeneity_coefficient,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
strong_confounding_constant_effect_n500,"Strong Confounding, Constant Effect, N=500",1.5,0.0,2.0,500,naive_difference,3.1280593550224935,1.1280593550224933,0.014966919306718101,1.135876134824099,0.01480052102182497,0.13386819593430282,0.1271553823952472,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n500,"Strong Confounding, Constant Effect, N=500",1.5,0.0,2.0,500,adjusted_ols,1.998309336087933,-0.0016906639120669975,0.010974250141651407,0.09755591971794898,0.006591732099706831,0.09815667727527701,0.10793974793399956,0.9875,0.012421629321469847,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n500,"Strong Confounding, Constant Effect, N=500",1.5,0.0,2.0,500,ipw,2.031806415456002,0.03180641545600212,0.022495009360424385,0.20245408938344683,0.014683002492567751,0.20120148033761195,0.2334476644529991,0.9875,0.012421629321469847,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n500,"Strong Confounding, Constant Effect, N=500",1.5,0.0,2.0,500,aipw,2.004119066831288,0.004119066831287943,0.01386272741533986,0.12328344743528966,0.00879887919850936,0.12399200341699955,0.12876492173872145,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n500,"Strong Confounding, Heterogeneous Effect, N=500",1.5,0.75,2.3,500,naive_difference,3.489724215864751,1.1897242158647507,0.014609973937785422,1.1967900256743265,0.014692244379248447,0.13067557949755396,0.13020745920910348,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n500,"Strong Confounding, Heterogeneous Effect, N=500",1.5,0.75,2.3,500,adjusted_ols,2.2882448004616465,-0.01175519953835361,0.011425749489652196,0.10223236804852567,0.0094361277839187,0.10219501021098334,0.10952473694227813,0.9375,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n500,"Strong Confounding, Heterogeneous Effect, N=500",1.5,0.75,2.3,500,ipw,2.2866668906808014,-0.013333109319198278,0.02425567172456023,0.21600102559496911,0.021771895473115508,0.21694932326414493,0.254027093137082,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n500,"Strong Confounding, Heterogeneous Effect, N=500",1.5,0.75,2.3,500,aipw,2.3009446814696224,0.0009446814696224687,0.014756171869119277,0.1311591265346298,0.011099622780885051,0.13198321354808334,0.1331770991543131,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n1000,"Randomized, Constant Effect, N=1000",0.0,0.0,2.0,1000,naive_difference,2.002717397815903,0.0027173978159032524,0.009943860846575864,0.08842473276882981,0.007479222766786821,0.08894059524696894,0.09651020159023682,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n1000,"Randomized, Constant Effect, N=1000",0.0,0.0,2.0,1000,adjusted_ols,2.0010095410830315,0.0010095410830315676,0.007021829350521297,0.06241954886089672,0.004266975512910376,0.06280515101667529,0.06356014173096255,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n1000,"Randomized, Constant Effect, N=1000",0.0,0.0,2.0,1000,ipw,2.0010325041156127,0.001032504115613128,0.007017972205212598,0.06238564611131753,0.004269212597153246,0.0627706516602379,0.12320154160677652,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_constant_effect_n1000,"Randomized, Constant Effect, N=1000",0.0,0.0,2.0,1000,aipw,2.0009442583750614,0.0009442583750614242,0.007013498590028741,0.062344490207181504,0.00426612803341979,0.0627306384296128,0.06342283289876746,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n1000,"Randomized, Heterogeneous Effect, N=1000",0.0,0.75,2.3,1000,naive_difference,2.3080942993803264,0.008094299380326676,0.011261740073066,0.10042327444795407,0.007317401374582988,0.10072806539323609,0.09939945669700263,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n1000,"Randomized, Heterogeneous Effect, N=1000",0.0,0.75,2.3,1000,adjusted_ols,2.299000265205301,-0.0009997347946986922,0.007400237016551695,0.0657823425688835,0.005115248857596015,0.06618973207447931,0.06456231323446263,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n1000,"Randomized, Heterogeneous Effect, N=1000",0.0,0.75,2.3,1000,ipw,2.2989635918283495,-0.0010364081716504325,0.007399427540016631,0.06577571624524382,0.005127342881688404,0.06618249189624494,0.13126118045697457,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
randomized_heterogeneous_effect_n1000,"Randomized, Heterogeneous Effect, N=1000",0.0,0.75,2.3,1000,aipw,2.2990303057258434,-0.0009696942741563797,0.007403924371565645,0.06581466325124338,0.005137751623107497,0.06622271278035277,0.06443518571878556,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n1000,"Moderate Confounding, Constant Effect, N=1000",0.8,0.0,2.0,1000,naive_difference,2.7499866926348413,0.7499866926348415,0.010000725702641168,0.7552358477860582,0.010046802019646039,0.08944920998174,0.09308653817398857,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n1000,"Moderate Confounding, Constant Effect, N=1000",0.8,0.0,2.0,1000,adjusted_ols,2.0004024676583048,0.00040246765830476703,0.007573000452146327,0.06731150356532271,0.005465641229170171,0.06773497521854333,0.06794251326658145,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n1000,"Moderate Confounding, Constant Effect, N=1000",0.8,0.0,2.0,1000,ipw,1.9962531616369326,-0.0037468383630672427,0.008790099403890106,0.07821790557545134,0.007364689590164015,0.07862103918431465,0.12849476520729822,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_constant_effect_n1000,"Moderate Confounding, Constant Effect, N=1000",0.8,0.0,2.0,1000,aipw,2.00104628891489,0.001046288914889701,0.007966677049205938,0.07081710410483225,0.005926588820967183,0.07125612574724766,0.06977729274593755,0.9125,0.031591879890250286,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_heterogeneous_effect_n1000,"Moderate Confounding, Heterogeneous Effect, N=1000",0.8,0.75,2.3,1000,naive_difference,3.112347926160429,0.812347926160429,0.011713960800549301,0.8189928488518428,0.011781446591260248,0.10477285054318436,0.09609173834522719,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_heterogeneous_effect_n1000,"Moderate Confounding, Heterogeneous Effect, N=1000",0.8,0.75,2.3,1000,adjusted_ols,2.306581569907769,0.006581569907769269,0.007643886285413571,0.06825839046192939,0.00516554987696211,0.06836899738585242,0.06921246759535993,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_heterogeneous_effect_n1000,"Moderate Confounding, Heterogeneous Effect, N=1000",0.8,0.75,2.3,1000,ipw,2.3075692488115918,0.007569248811591672,0.008840801973461973,0.07894248609434178,0.00636556819840042,0.07907453675310107,0.13422492404612857,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
moderate_confounding_heterogeneous_effect_n1000,"Moderate Confounding, Heterogeneous Effect, N=1000",0.8,0.75,2.3,1000,aipw,2.3117813714198103,0.01178137141981051,0.007891987284345219,0.0711280135596137,0.005481893944084691,0.07058808018143949,0.07073026562933422,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n1000,"Strong Confounding, Constant Effect, N=1000",1.5,0.0,2.0,1000,naive_difference,3.106504654985353,1.106504654985353,0.008199159537580549,1.1089018994739561,0.008261760400156954,0.0733355123375834,0.08958106026645477,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n1000,"Strong Confounding, Constant Effect, N=1000",1.5,0.0,2.0,1000,adjusted_ols,1.9836768331901429,-0.01632316680985705,0.007965621506690973,0.07265731021544346,0.006756310198241087,0.07124668468798126,0.07586080290036383,0.9375,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n1000,"Strong Confounding, Constant Effect, N=1000",1.5,0.0,2.0,1000,ipw,1.9908046053805653,-0.009195394619434732,0.015962857396800152,0.1421786473686634,0.013267769689301732,0.14277613701752187,0.1725057955113183,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_constant_effect_n1000,"Strong Confounding, Constant Effect, N=1000",1.5,0.0,2.0,1000,aipw,1.9815950735157426,-0.01840492648425727,0.011226593800548908,0.10146732271785952,0.010124800278836622,0.10041370757522032,0.0923475592139037,0.9375,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n1000,"Strong Confounding, Heterogeneous Effect, N=1000",1.5,0.75,2.3,1000,naive_difference,3.4924912457591852,1.1924912457591852,0.010004426430519507,1.195801976298912,0.01002459180911659,0.08948231029814878,0.09209708318755896,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n1000,"Strong Confounding, Heterogeneous Effect, N=1000",1.5,0.75,2.3,1000,adjusted_ols,2.2937313276602467,-0.006268672339753123,0.008751908862250132,0.07804084214576777,0.004935157402906378,0.07827945259549654,0.07709429278975291,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n1000,"Strong Confounding, Heterogeneous Effect, N=1000",1.5,0.75,2.3,1000,ipw,2.3278554935415827,0.02785549354158261,0.01591562362127124,0.14417762470476672,0.01116308541502562,0.1423536652858555,0.1754555415347207,0.975,0.017455300054711183,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
strong_confounding_heterogeneous_effect_n1000,"Strong Confounding, Heterogeneous Effect, N=1000",1.5,0.75,2.3,1000,aipw,2.302438224664246,0.002438224664245653,0.010418329964394272,0.09263223672148904,0.005651912234706651,0.09318437604963423,0.09287161910230621,0.9875,0.012421629321469847,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
